3YBZIN3rekqsKxbJc9FZko,Paradise City,Appetite For Destruction,rock,Guns N' Roses,405640
5tqSUxm3Wpql0dlLMrIAp1,Shadow Of Your Love,Shadow Of Your Love,rock,Guns N' Roses,185573
0bVtevEgtDIeRjCJbK3Lmv,Welcome To The Jungle,Appetite For Destruction,rock,Guns N' Roses,272027
63HA3dpnOmdDcazJ9sDfrh,It's So Easy,Appetite For Destruction,rock,Guns N' Roses,201360
2vNw57KPaYDzkyPxXYUORX,Nightrain,Appetite For Destruction,rock,Guns N' Roses,266173
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Appetite For Destruction,rock,Guns N' Roses,354520
5x6alRKb9sdCidGQz5luEd,Out Ta Get Me,Appetite For Destruction,rock,Guns N' Roses,263867
4DnEyHNO8MdhFYFrDq73BV,Mr. Brownstone,Appetite For Destruction,rock,Guns N' Roses,225707
2C4aYxNpoPkmoZ3ZdPeuOB,Knockin' On Heaven's Door,Use Your Illusion II (Explicit Version),rock,Guns N' Roses,336000
0ZEhlT9v8CdOKu55zhYGv9,Don't Cry (Original),Use Your Illusion I,rock,Guns N' Roses,284800
2dyfo7lqKI7NtSAhUZwnoJ,My Michelle,Appetite For Destruction,rock,Guns N' Roses,218667
267z5eJwlfiP5FZ3CklTtK,Think About You,Appetite For Destruction,rock,Guns N' Roses,231600
0GQuzKlkH0otZ01oMFzsSu,You're Crazy,Appetite For Destruction,rock,Guns N' Roses,197200
7iLeu3HnJt7hkxfrqO55V4,Anything Goes,Appetite For Destruction,rock,Guns N' Roses,206360
5j6WdDC183izbbjedKsSAe,Rocket Queen,Appetite For Destruction,rock,Guns N' Roses,375307
04MNKrAnzrHDUzuXAtNoLr,Live And Let Die,Use Your Illusion I,rock,Guns N' Roses,183973
09PTdECef2Uxix7ma0HCxs,You Could Be Mine,Use Your Illusion II (Explicit Version),rock,Guns N' Roses,343640
7D5n2kpYH2WSqIyEO9MeXf,Patience,G N' R Lies,rock,Guns N' Roses,354400
2uduMoxSNLkDBhyLS2JroT,Used To Love Her,G N' R Lies,rock,Guns N' Roses,191360
46AtSShP5IL2Ls3uHpxmt8,Double Talkin' Jive,Use Your Illusion I,rock,Guns N' Roses,202040
0EHzXpyi1swR8sMpbVHcLJ,Civil War,Use Your Illusion II (Explicit Version),rock,Guns N' Roses,462093
3qjLlHdGbwDQYKYldJp56p,Since I Don't Have You,The Spaghetti Incident?,rock,Guns N' Roses,261400
2PrmCyoClC4ulLJR42z74O,There Was A Time,Chinese Democracy,rock,Guns N' Roses,400693
3E5yOnpyHFerNmTVGn8ZXd,14 Years,Use Your Illusion II (Explicit Version),rock,Guns N' Roses,261373
0ivarc4umuzp5I3J7lPDJc,Attitude,The Spaghetti Incident?,rock,Guns N' Roses,87000
39WoLsd8lNAdmYLr7z5o5G,Ain't It Fun,The Spaghetti Incident?,rock,Guns N' Roses,305800
4BZdQn690mETPLKmNDhbGi,Don't Damn Me,Use Your Illusion I,rock,Guns N' Roses,318867
5dlAkAIEusU1FJcyaYMgVm,Chinese Democracy,Chinese Democracy (Version 1),rock,Guns N' Roses,283213
1416zt0Z35YVGt97dXMbxu,Right Next Door To Hell,Use Your Illusion I,rock,Guns N' Roses,182293
3kSsbFBOdaflBNNJkiG1ja,New Rose,The Spaghetti Incident?,rock,Guns N' Roses,158360
3nW5v0Htr1ySk8czTJIA2V,Better,Chinese Democracy,rock,Guns N' Roses,297227
4g9TfQAiEN6lDNRJJsiU9T,Sorry,Chinese Democracy,rock,Guns N' Roses,374187
6fx2QjZU1Pf5DsHXMdGt0W,Sympathy For The Devil,Greatest Hits,rock,Guns N' Roses,455560
0SvH3iaSrSb8zZnMCEis6C,Yesterdays,Use Your Illusion II (Explicit Version),rock,Guns N' Roses,196227
2foNAckCzsyD0HJUbmhTZJ,Raw Power,The Spaghetti Incident?,rock,Guns N' Roses,191827
2lWfuwRnN6aSk50TPx6eCk,If The World,Chinese Democracy (Version 1),rock,Guns N' Roses,293507
1kq4BX4zZHyr4O5cJGcduh,Hair Of The Dog,The Spaghetti Incident?,rock,Guns N' Roses,234907
2dsamqceYOKqLNx2Ch6Zhz,Black Leather,The Spaghetti Incident?,rock,Guns N' Roses,248493
