6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Ayy Macarena,r&b,Tyga,131607
7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,JACKBOYS,r&b,Travis Scott,244874
6lruHh1jF7ezgbLv72xYmf,FML,Living Facts,r&b,Arizona Zervas,223000
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),JACKBOYS,r&b,JACKBOYS,157712
1ZPWWSwCkxKfqdp4H0RFCo,ROXANNE,ROXANNE,r&b,Arizona Zervas,163636
54yCP5dfn4uvU5h37aE8f4,Out Of Your Mind (feat. Swae Lee & Chris Brown),MONTANA,r&b,French Montana,194171
6uJONCdr2rC65BNmCnTBWK,GANG GANG,JACKBOYS,r&b,JACKBOYS,244761
1iSqfoUFnQwV0QW1EfUit8,Suicidal,Melly vs. Melvin,r&b,YNW Melly,222997
2BWXfyYzeLcK0pbvPp9Itw,Richer Than Ever,Richer Than Ever,r&b,Fivio Foreign,185443
4IO8X9W69dIQe0EC5ALXhq,Immortal,Immortal,r&b,21 Savage,254723
51Fjme0JiitpyXKuyQiCDo,Lalala,Lalala,r&b,Y2K,160627
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,r&b,Travis Scott,175721
2Xo3rLHjXfdb4avN68aQyi,BEST ON EARTH (feat. BIA),BEST ON EARTH (feat. BIA),r&b,Russ,160720
3RZftiuTcLOqpsd8ZlwNhr,Hop Off A Jet (feat. Travis Scott),So Much Fun (Deluxe),r&b,Young Thug,174067
4Hqh0dS4x07zuRw6eBTO7p,20/20,20/20,r&b,Lil Tjay,230448
51wFQM8W0YfXTmHusXUr5i,MAMACITA,MAMACITA,r&b,Tyga,202653
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),r&b,Juice WRLD,189323
2kUIOTeKv8ZeT6vh9gh7RF,No Denying,No Denying,r&b,J Hus,214547
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Futsal Shuffle 2020,r&b,Lil Uzi Vert,198913
0RLLvYBopDwooCyvnTwgYu,F.N,True 2 Myself,r&b,Lil Tjay,224000
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,KIRK,r&b,DaBaby,159715
7f5trao56t7sB7f14QDTmp,Juicy (feat. Tyga),Hot Pink,r&b,Doja Cat,203093
0vXVI7kPKK2p6XO4rybEHC,Purpose (feat. G Herbo),Purpose (feat. G Herbo),r&b,Calboy,179840
0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me For Being Antisocial,r&b,Roddy Ricch,196653
3X6KN4WFgPYBETFMMX675P,NIGHTTIME (Interlude),NIGHTTIME (Interlude),r&b,Russ,189867
4FmzpxyIKD0VmTz5KhQzJm,Vendetta,Vendetta,r&b,KILLY,149413
4bl1HBZliBuYpFZjWgefE4,Peta (feat. Meek Mill),Please Excuse Me For Being Antisocial,r&b,Roddy Ricch,198849
4YrS33mjBWWchoLJTkAKwt,Go In,Go In,r&b,Lil Tjay,254963
6piAUJJQFD8oHDUr0b7l7q,VALENTINO,DROPPED OUTTA COLLEGE,r&b,24kGoldn,179133
